item_url,acquisition,datetime,quadkey,gsd,off_nadir,sun_elevation,clouds_pct,epsg,platform,bbox_w,bbox_s,bbox_e,bbox_n,visual_href,ms_href,pan_href,date,phase
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013310/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:54+00:00,031311013310,0.48,24.1,32.8,0,32611,GE01,-118.83485843242586,34.10072827764622,-118.78704950170162,34.105851089705894,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013310/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013310/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013310/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013311/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:53+00:00,031311013311,0.48,24.3,32.8,0,32611,GE01,-118.79053018604232,34.10137831422389,-118.73286727188243,34.10596205228721,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013311/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013311/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013311/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013312/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:54+00:00,031311013312,0.48,24.1,32.8,0,32611,GE01,-118.83595849685837,34.05563793722765,-118.78610278183349,34.104244627706315,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013312/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013312/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013312/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013313/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:53+00:00,031311013313,0.48,24.3,32.8,0,32611,GE01,-118.79049517378039,34.05630636542734,-118.73194922043604,34.10502119456861,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013313/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013313/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013313/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013330/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:54+00:00,031311013330,0.48,24.1,32.8,0,32611,GE01,-118.83481199275259,34.01057336124903,-118.78515816359156,34.05917261800656,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013330/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013330/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013330/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013331/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:53+00:00,031311013331,0.48,24.2,32.8,0,32611,GE01,-118.78954653053438,34.0112340623513,-118.73103320703103,34.0599478773459,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013331/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013331/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013331/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013332/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:54+00:00,031311013332,0.48,24.0,32.8,0,32611,GE01,-118.8344008764817,33.96547249617009,-118.78421564249325,34.01410025409668,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013332/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013332/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013332/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013333/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:53+00:00,031311013333,0.48,24.2,32.8,0,32611,GE01,-118.78859999316934,33.96616140526562,-118.73011922732016,34.014874207270374,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013333/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013333/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311013333/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031110/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:54+00:00,031311031110,0.48,24.0,32.8,5,32611,GE01,-118.83467965909557,33.95246905575516,-118.78392871197163,33.96902753624625,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031110/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031110/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031110/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031111/2025-01-16/105001004042BF00.json,105001004042BF00,2025-01-16 18:53:53+00:00,031311031111,0.48,24.2,32.8,24,32611,GE01,-118.78765555719323,33.9523003424446,-118.72982194174241,33.96980018460781,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031111/2025-01-16/105001004042BF00-visual.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031111/2025-01-16/105001004042BF00-ms.tif,https://maxar-opendata.s3.amazonaws.com/events/WildFires-LosAngeles-Jan-2025/ard/11/031311031111/2025-01-16/105001004042BF00-pan.tif,2025-01-16,post
